page_a,page_b,first_pass_reason,second_verdict,second_evidence,confidence,classification,reach,tier,licence_ground,resolved_page_b,page_b_source,name_a,name_b,exception_classes,corpus_confirms,existing_relations,first_pass_actions
K1:EE90ONI6FF,,"two pages collide on a display name and nothing recorded for them - substance class, primary target, stereo descriptor, UNII or structure - tells one from the other",merge,R0b same UNII inside the 'potassium' name group: K1:EE90ONI6FF and HOLD:existing:potassium-citrate both hold UNII EE90ONI6FF,high,NOT-LICENSED,band,2,"the two pages share a UNII but carry different InChIKey skeletons, which §2 holds",HOLD:existing:potassium-citrate,second-opinion evidence,POTASSIUM CITRATE,Potassium Citrate,,same_unii; structure_conflict,,
K1:EE92BBP03H,K1:J3TZF807X5,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,R8s the two held structures settle it: different skeletons HSUGRBWQSSZJOP vs BJEPYKJPYRNKOW; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,band,2,a separate verdict leaves both pages exactly as they are,K1:J3TZF807X5,page_b,Diltiazem,Malic Acid,,structure_conflict,related_form_of,remainder
K1:EEO29FZT86,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:JQ72VD4XUL -> K1:EEO29FZT86; the two names denote one live page (Padeliporfin),high,NOT-LICENSED,rest,2,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Padeliporfin,,,,,
K1:ER29L26N1X,K1:88XHZ13131,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6 the GSRS record on K1:ER29L26N1X is a mixed salt whose active moiety is Cobimetinib (ER29L26N1X); Fumaric Acid is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high,LICENSED-SEPARATE,band,2,a separate verdict leaves both pages exactly as they are,K1:88XHZ13131,page_b,Fumaric Acid,Cobimetinib,,structure_conflict,related_form_of,
K1:EUT3557RT5,K2:SGEIEGAXKLMUIZ-XUVDNFPMSA-N,a merge chain would join two pages that an exception class keeps separate; the whole chain is held for the second opinion,form_of,"R3 InChIKey skeleton SGEIEGAXKLMUIZ shared; SGEIEGAXKLMUIZ-CYBMUJFWSA-N vs SGEIEGAXKLMUIZ-XUVDNFPMSA-N; the records carry the same name (Arimoclomol / Arimoclomol) so the difference is the stereo or protonation layer alone. §3.2 links these, never merges",medium,LICENSED-FORM_OF,rest,2,"the two pages carry one InChIKey skeleton and different full keys, which §3.4 and §5.1 split and link",K2:SGEIEGAXKLMUIZ-XUVDNFPMSA-N,page_b,Arimoclomol,Arimoclomol,,same_unii; same_skeleton_different_full; moiety_match; fragment_match,form_of; stereoisomer_of,form_of
K1:F1T8QT9U8B,K1:UD4O8TY7RW,the evidence links the two pages but no rule in the spec's order decides them,separate,"R9a two separately registered FDA substances: Digitalis ['F1T8QT9U8B'] and Digitalis Purpurea Whole ['UD4O8TY7RW'], preferred names DIGITALIS and DIGITALIS PURPUREA WHOLE; neither is a salt, solvate or stereo form of the other by name or by structure",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:UD4O8TY7RW,page_b,Digitalis,Digitalis Purpurea Whole,,,,remainder
K1:F59P8B75R4,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:914032762Y -> K1:F59P8B75R4; the two names denote one live page (Pentosan Polysulfate),high,NOT-LICENSED,band,2,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Pentosan Polysulfate,,,,,
K1:F59P8B75R4,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:914032762Y -> K1:F59P8B75R4; the two names denote one live page (Pentosan Polysulfate),high,NOT-LICENSED,band,2,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Pentosan Polysulfate,,,,,
K1:F5Y53150C8,K1:W4888I119H,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,R8s the two held structures settle it: different skeletons ZXOSVKYCXLTVGS vs FEWJPZIEWOKRBE; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:W4888I119H,page_b,Budiodarone,TARTARIC ACID,,structure_conflict,related_form_of,remainder
K1:F79059A38U,K1:069647RPT5,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6 the GSRS record on K1:F79059A38U is a mixed salt whose active moiety is Antimony Trisulfide (F79059A38U); Antimony Cation (3+) is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:069647RPT5,page_b,Antimony Cation (3+),Antimony Trisulfide,,structure_conflict; moiety_match,related_form_of,
K1:F8PO54Z4V7,K1:F9S9FFU82N,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6 the GSRS record on K1:F8PO54Z4V7 is a mixed salt whose active moiety is Squalamine (F8PO54Z4V7); Lactic Acid is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:F9S9FFU82N,page_b,Squalamine,Lactic Acid,,structure_conflict,related_form_of,remainder
K1:F8XAG1755S,K1:PB618V0K2W,the evidence links the two pages but no rule in the spec's order decides them,separate,R9c Borage Oil and Borage are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:PB618V0K2W,page_b,Borage Oil,Borage,,,,remainder
K1:F91H02EBWT,K1:W4888I119H,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,R8s the two held structures settle it: different skeletons BPZSYCZIITTYBL vs FEWJPZIEWOKRBE; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,band,2,a separate verdict leaves both pages exactly as they are,K1:W4888I119H,page_b,Arformoterol,TARTARIC ACID,,structure_conflict,related_form_of,remainder
K1:FI8B4CLS9I,K1:G6W4F0V8Z3,the evidence links the two pages but no rule in the spec's order decides them,separate,R9c Datura Stramonium Whole and Datura Stramonium are different registered preparations of one organism (whole); §2 K4 merges only on exact name-family equality and these two families are not equal,medium,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:G6W4F0V8Z3,page_b,Datura Stramonium Whole,Datura Stramonium,,,,remainder
K1:G23AP190YS,K1:W4888I119H,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,R8s the two held structures settle it: different skeletons QPYJXFZUIJOGNX vs FEWJPZIEWOKRBE; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:W4888I119H,page_b,Afegostat,TARTARIC ACID,,structure_conflict,related_form_of,remainder
K1:G43C57162K,K1:VIF565UC2G,the evidence links the two pages but no rule in the spec's order decides them,separate,R9c Melaleuca Alternifolia Leaf Oil and Melaleuca Alternifolia Leaf are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:VIF565UC2G,page_b,Melaleuca Alternifolia Leaf,Melaleuca Alternifolia Leaf Oil,,,,remainder
K1:GB4I2JI8UI,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:28O0WP6Z1P -> K1:GB4I2JI8UI; the two names denote one live page (Vutrisiran),high,NOT-LICENSED,rest,2,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Vutrisiran,,,,,
K1:GB4I2JI8UI,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:28O0WP6Z1P -> K1:GB4I2JI8UI; the two names denote one live page (Vutrisiran),high,NOT-LICENSED,rest,2,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Vutrisiran,,,,,
K1:H5WVD9LZUD,K1:4E862E7GRQ,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,R4z shared parent XPPKVPWEQAFLFU has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:4E862E7GRQ,page_b,Pyrophosphoric Acid,SODIUM ACID PYROPHOSPHATE,,structure_conflict; moiety_match; fragment_match,related_form_of,
K1:H6CM4TWH1W,K1:IGO73S04D5,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons GRWFGVWFFZKLTI vs WTARULDDTDQWMU; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:IGO73S04D5,page_b,Alpha-Pinene,Beta-Pinene,,structure_conflict,,remainder
K1:H7965X29HX,K4:cobaltous,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies",separate,"R9b 'Cobaltous Sulfate' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Cobaltous",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K4:cobaltous,page_b,Cobaltous Sulfate,Cobaltous,,,,review
K1:HF539G9L3Q,K1:XMK14ETW2D,the evidence links the two pages but no rule in the spec's order decides them,separate,"R4y both are salts of NBIIXXVUZAFLBC; neither page is that parent moiety; §3.1 merges a salt into its parent, and that parent is not either of these two pages",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:XMK14ETW2D,page_b,"Magnesium PHOSPHATE, Dibasic Trihydrate",Magnesium Phosphate Anhydrous,,structure_conflict,,remainder
K1:HIW548RQ3W,K1:F6A27P4Q4R,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,R4z shared parent MCAHWIHFGHIESP has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:F6A27P4Q4R,page_b,Selenious Acid,SODIUM SELENITE,,structure_conflict; moiety_match; fragment_match,related_form_of,
K1:HS813P8QPX,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:R3O80H60KX -> K1:HS813P8QPX; the two names denote one live page (Bismuth Subcitrate),high,NOT-LICENSED,rest,2,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Bismuth Subcitrate,,,,,
K1:HS813P8QPX,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:R3O80H60KX -> K1:HS813P8QPX; the two names denote one live page (Bismuth Subcitrate),high,NOT-LICENSED,rest,2,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Bismuth Subcitrate,,,,,
K1:HT0935F2JR,K4:mercurous,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies",separate,"R9b 'Mercurous Iodide' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Mercurous",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K4:mercurous,page_b,Mercurous Iodide,Mercurous,,,,review
K1:I35H55G906,K1:3B8D35Y7S4,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6 the GSRS record on K1:I35H55G906 is a mixed salt whose active moiety is Dovitinib (I35H55G906); Lactic Acid, Dl is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:3B8D35Y7S4,page_b,"Lactic Acid, Dl",Dovitinib,,structure_conflict,related_form_of,
K1:I8LHQ0D645,K1:L3L3XYP7MP,the evidence links the two pages but no rule in the spec's order decides them,separate,"R9a two separately registered FDA substances: Dextran 1 ['I8LHQ0D645'] and Isomaltotriose ['K3R6ZDH4DU', 'L3L3XYP7MP'], preferred names DEXTRAN 1 and DEXTRAN 40; neither is a salt, solvate or stereo form of the other by name or by structure",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:L3L3XYP7MP,page_b,Dextran 1,Isomaltotriose,,,,remainder
K1:I8LHQ0D645,K1:V5LWP0C2L5,the evidence links the two pages but no rule in the spec's order decides them,separate,"R9a two separately registered FDA substances: Dextran 1 ['I8LHQ0D645'] and Dextran Sulfate Sodium (5000 MW) ['V5LWP0C2L5'], preferred names DEXTRAN 1 and DEXTRAN SULFATE SODIUM (5000 MW); neither is a salt, solvate or stereo form of the other by name or by structure",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:V5LWP0C2L5,page_b,Dextran 1,Dextran Sulfate Sodium (5000 MW),,,,remainder
K1:I909J9CFAT,K2:YMXBQIIPWIMAQE-UHFFFAOYSA-N,the evidence links the two pages but no rule in the spec's order decides them,separate,R9 no shared identifier and no structure pair to compare (Liprotamase Amylase vs Amylase); UNIIs ['I909J9CFAT'] vs none; InChIKeys none vs YMXBQIIPWIMAQE-UHFFFAOYSA-N,low,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K2:YMXBQIIPWIMAQE-UHFFFAOYSA-N,page_b,Liprotamase Amylase,Amylase,,,,remainder
K1:I909J9CFAT,K3:CHEMBL1201648,the evidence links the two pages but no rule in the spec's order decides them,separate,R9 no shared identifier and no structure pair to compare (Liprotamase Amylase vs AMYLASE (PANCRELIPASE)); UNIIs ['I909J9CFAT'] vs none,low,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K3:CHEMBL1201648,page_b,Liprotamase Amylase,AMYLASE (PANCRELIPASE),,,,remainder
K1:IGA15S9H40,K1:IO46B19O1Q,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons QAOWNCQODCNURD vs AWYFNIZYMPNGAI; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:IO46B19O1Q,page_b,MANGANESE SULFATE ANHYDROUS,Ethylenebisdithiocarbamic Acid,,structure_conflict,,remainder
K1:IO46B19O1Q,K1:W00LYS4T26,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons AWYFNIZYMPNGAI vs QAOWNCQODCNURD; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:W00LYS4T26,page_b,Ethylenebisdithiocarbamic Acid,Manganese Sulfate,,structure_conflict,,remainder
K1:IY191986AO,K4:mercuric,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies",separate,"R9b 'Mercuric Oxide' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Mercuric",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K4:mercuric,page_b,Mercuric Oxide,Mercuric,,,,review
K1:IZ05287FTB,K1:ML30MJ2U7I,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons ZRJXRFLDXJTCMA vs QAOWNCQODCNURD; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:ML30MJ2U7I,page_b,Magnesium Lauryl Hydroxypropyl Sulfonate,Magnesium Sulfate Anhydrous,,structure_conflict,,remainder
K1:J2VZ07J96K,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:19371312D4 -> K1:J2VZ07J96K; the two names denote one live page (Polymyxin b),high,NOT-LICENSED,band,2,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Polymyxin b,,,,,
K1:J2VZ07J96K,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:19371312D4 -> K1:J2VZ07J96K; the two names denote one live page (Polymyxin b),high,NOT-LICENSED,band,2,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Polymyxin b,,,,,
K1:J4L3PPG58I,K4:mercuric,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies",separate,"R9b 'Mercuric Sulfate' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Mercuric",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K4:mercuric,page_b,Mercuric Sulfate,Mercuric,,,,review
K1:J7YV2RKO6Q,K1:JHU490RVYR,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons MZHCENGPTKEIGP vs XBDQKXXYIPTUBI; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:JHU490RVYR,page_b,Dichlorprop,PROPIONIC ACID,,structure_conflict,,remainder
K1:J95YY85R52,K1:R10H71BSWG,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons VJHYOZWFHJBKMZ vs PIEUQSKUWLMALL; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,band,2,a separate verdict leaves both pages exactly as they are,K1:R10H71BSWG,page_b,O-DESULFO Micafungin,Micafungin,,structure_conflict,,remainder
K1:K4C08XP666,K4:tribasic,the evidence links the two pages but no rule in the spec's order decides them,separate,"R9b 'Tribasic' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Tricalcium Phosphate",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K4:tribasic,page_b,Tricalcium Phosphate,Tribasic,,,,remainder
K1:K72I3DEX9B,HOLD:existing:anhydrous-citric-acid,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R4x §1 the removed fragment is not a counter-ion: Zinc Citrate carries Zn that Anhydrous Citric Acid does not; shared organic fragment KRKNYBCHXYNGOX is the ligand, not the substance",high,LICENSED-SEPARATE,band,2,a separate verdict leaves both pages exactly as they are,HOLD:existing:anhydrous-citric-acid,page_b,Anhydrous Citric Acid,Zinc Citrate,metal complex,structure_conflict,related_form_of,
K1:K72I3DEX9B,K1:XF417D3PSL,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R4x §1 the removed fragment is not a counter-ion: Zinc Citrate carries Zn that Anhydrous Citric Acid does not; shared organic fragment KRKNYBCHXYNGOX is the ligand, not the substance",high,LICENSED-SEPARATE,band,2,a separate verdict leaves both pages exactly as they are,K1:XF417D3PSL,page_b,Zinc Citrate,Anhydrous Citric Acid,metal complex,structure_conflict; moiety_match; fragment_match,related_form_of,remainder
K1:K72T3FS567,K1:RP8X0ZB061,the evidence links the two pages but no rule in the spec's order decides them,separate,"R9a two separately registered FDA substances: ADENOSINE ['K72T3FS567'] and Lactobacillus Crispatus Strain CTV-05 ['RP8X0ZB061'], preferred names ADENOSINE and LACTOBACILLUS CRISPATUS STRAIN CTV-05; neither is a salt, solvate or stereo form of the other by name or by structure",high,LICENSED-SEPARATE,band,2,a separate verdict leaves both pages exactly as they are,K1:RP8X0ZB061,page_b,ADENOSINE,Lactobacillus Crispatus Strain CTV-05,,,,remainder
K1:K91YT16P5M,K1:WIQ1H85SYP,the evidence links the two pages but no rule in the spec's order decides them,separate,"R4y both are salts of YGSDEFSMJLZEOE; neither page is that parent moiety; §3.1 merges a salt into its parent, and that parent is not either of these two pages",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:WIQ1H85SYP,page_b,POTASSIUM SALICYLATE,Sodium Salicylate,,structure_conflict,,remainder
K1:KH7I04HPUU,K4:monobasic,the evidence links the two pages but no rule in the spec's order decides them,separate,"R9b 'Sodium Phosphate, Monobasic' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Monobasic",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K4:monobasic,page_b,"Sodium Phosphate, Monobasic",Monobasic,,,,remainder
K1:L0ND3981AG,K1:1HTE449DGZ,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R9a two separately registered FDA substances: GADOTERATE MEGLUMINE ['L0ND3981AG'] and Tetraxetan ['1HTE449DGZ'], preferred names Gadoterate meglumine and Tetraxetan; neither is a salt, solvate or stereo form of the other by name or by structure",high,LICENSED-SEPARATE,band,2,a separate verdict leaves both pages exactly as they are,K1:1HTE449DGZ,page_b,Tetraxetan,GADOTERATE MEGLUMINE,,structure_conflict,related_form_of,
K1:L0ND3981AG,K1:6HG8UB2MUY,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R9a two separately registered FDA substances: GADOTERATE MEGLUMINE ['L0ND3981AG'] and Meglumine ['6HG8UB2MUY'], preferred names Gadoterate meglumine and Meglumine; neither is a salt, solvate or stereo form of the other by name or by structure",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:6HG8UB2MUY,page_b,Meglumine,GADOTERATE MEGLUMINE,,structure_conflict,related_form_of,
K1:L11K75P92J,K4:dibasic,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies",separate,"R9b 'Anhydrous Dibasic Calcium Phosphate' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Anhydrous Dibasic",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K4:dibasic,page_b,Anhydrous Dibasic Calcium Phosphate,Anhydrous Dibasic,,,,review
K1:LA9X9UJA2Z,K1:817L1N4CKP,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R4a Magnesium Malate is MALIC ACID (BJEPYKJPYRNKOW) plus counter-ions or solvate, but FDA records the active moiety of Magnesium Malate as MAGNESIUM CATION (T6V3LHY838), not MALIC ACID; the counter-ion is the substance being recorded and the organic acid is its carrier",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:817L1N4CKP,page_b,MALIC ACID,Magnesium Malate,,structure_conflict; moiety_match; fragment_match,related_form_of,
K1:LC1V549NOM,K1:LGN4W9EY7G,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons CPELXLSAUQHCOX vs ZTEATMVVGQUULZ; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:LGN4W9EY7G,page_b,Sodium Bromide,6-BROMOISOQUINOLINE,,structure_conflict,,remainder
K1:LC1V549NOM,K1:OSD78555ZM,the evidence links the two pages but no rule in the spec's order decides them,separate,"R4y both are salts of CPELXLSAUQHCOX; neither page is that parent moiety; §3.1 merges a salt into its parent, and that parent is not either of these two pages",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:OSD78555ZM,page_b,Sodium Bromide,Potassium Bromide,,structure_conflict,,remainder
K1:LGX9OL562T,K1:5UTX5635HP,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6a GSRS names Oxyquinoline as the parent substance of INDIUM IN 111 OXYQUINOLINE, but it records the active moiety as INDIUM CATION IN-111 (WJZ06C0H8L); the counter-ion is the substance being recorded",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:5UTX5635HP,page_b,Oxyquinoline,INDIUM IN 111 OXYQUINOLINE,,structure_conflict; moiety_match,related_form_of,
K1:M089EFU921,K2:CUKWUWBLQQDQAC-VEQWQPCFSA-N,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,merge,R1 identical UNII M089EFU921; one page holds no structure of its own; §2 keys biologics and name-only records on UNII alone,high,NOT-LICENSED,rest,2,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",K2:CUKWUWBLQQDQAC-VEQWQPCFSA-N,page_b,Angiotensin II,ANGIOTENSIN-II,,same_unii; structure_conflict; moiety_match,,remainder
K1:M15H03K69B,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:Y3834SIK5F -> K1:M15H03K69B; the two names denote one live page (Porfimer),high,NOT-LICENSED,band,2,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Porfimer,,,,,
K1:M15H03K69B,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:Y3834SIK5F -> K1:M15H03K69B; the two names denote one live page (Porfimer),high,NOT-LICENSED,band,2,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Porfimer,,,,,
K1:M7Y086VB5G,K1:R4R8J0Q44B,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons AEMOLEFTQBMNLQ vs RGHNJXZEOKUKBD; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,band,2,a separate verdict leaves both pages exactly as they are,K1:R4R8J0Q44B,page_b,.ALPHA.-D-GLUCURONIC Acid,Gluconic Acid,,structure_conflict,,remainder
K1:MD64P82Y28,K1:AB6MNQ6J6L,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R4a LITHIUM SUCCINATE is Succinic Acid (KDYFGRWQOYBRFD) plus counter-ions or solvate, but FDA records the active moiety of LITHIUM SUCCINATE as LITHIUM CATION (8H8Z5UER66), not Succinic Acid; the counter-ion is the substance being recorded and the organic acid is its carrier",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:AB6MNQ6J6L,page_b,Succinic Acid,LITHIUM SUCCINATE,,structure_conflict,related_form_of,
K1:MG976Z29OM,K1:RCS9EQ01V4,the evidence links the two pages but no rule in the spec's order decides them,separate,"R9a two separately registered FDA substances: Glyceryl Phosphate ['MG976Z29OM'] and SODIUM GLYCEROPHOSPHATE ['RCS9EQ01V4'], preferred names GLYCERYL PHOSPHATE and Sodium glycerophosphate; neither is a salt, solvate or stereo form of the other by name or by structure",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:RCS9EQ01V4,page_b,Glyceryl Phosphate,SODIUM GLYCEROPHOSPHATE,,structure_conflict,,remainder
