page_a,page_b,verdict,evidence,confidence
K1:3655633623,K1:XF417D3PSL,separate,"R4a LITHIUM CITRATE ANHYDROUS is Anhydrous Citric Acid (KRKNYBCHXYNGOX) plus counter-ions or solvate, but FDA records the active moiety of LITHIUM CITRATE ANHYDROUS as LITHIUM CATION (8H8Z5UER66), not Anhydrous Citric Acid; the counter-ion is the substance being recorded and the organic acid is its carrier",high
K1:36ITO9SKQJ,K1:8NVY8268MY,separate,"R6a GSRS names Mertiatide as the parent substance of TECHNETIUM TC 99M MERTIATIDE, but it records the active moiety as TECHNETIUM TC-99M (6EW75241VU); the counter-ion is the substance being recorded",high
K1:37CB58V15B,K4:thallous,separate,"R9b 'THALLOUS CHLORIDE' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Thallous",high
K1:385H9E7854,K1:HOY74VZE0M,separate,"R9a two separately registered FDA substances: N-((2S)-2-(BIS(CARBOXYMETHYL)AMINO)-3-(4-ETHOXYPHENYL)PROPYL)-N-(2-(BIS(CARBOXYMETHYL)AMINO)ETHYL)GLYCINE ['3QJA87N40S', '385H9E7854'] and GADOXETATE DISODIUM ['HOY74VZE0M'], preferred names GADOXETIC ACID and Gadoxetate Disodium; neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:38K542K6ZV,K4:insulin susp isophane recombinant human,separate,R9 no shared identifier and no structure pair to compare (Isophane Insulin Human Suspension vs Insulin Susp Isophane Recombinant Human); UNIIs ['38K542K6ZV'] vs none,low
K1:3C5ORO99TY,K1:XF417D3PSL,separate,"R6 the GSRS record on K1:3C5ORO99TY is a mixed salt whose active moiety is Tripelennamine (3C5ORO99TY); Anhydrous Citric Acid is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high
K1:3NXW29V3WO,K1:RN3152OP35,separate,"R9a two separately registered FDA substances: Hypromellose ['3NXW29V3WO'] and Hypromellose 2910 (4000 MPA.S) ['RN3152OP35'], preferred names HYPROMELLOSE, UNSPECIFIED and HYPROMELLOSE 2910 (4000 MPA.S); neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:3Q9L08K71N,K4:evening primrose,separate,R9c Evening Primrose Oil and Evening Primrose are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:3RT3536DHY,K1:Q9L0O73W7L,separate,R9c Coconut Oil and Coconut are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:403J23EMFA,K1:9G34HU7RV0,separate,"R6a GSRS names Edetic Acid as the parent substance of Sodium feredetate, but it records the active moiety as FERRIC CATION (91O4LML611); the counter-ion is the substance being recorded",high
K1:40S1VHN69B,,merge,R0 already-merged: corpus merge map records K1:7DP3NTV15T -> K1:40S1VHN69B; the two names denote one live page (Bleomycin),high
K1:40S1VHN69B,,merge,R0 already-merged: corpus merge map records K1:7DP3NTV15T -> K1:40S1VHN69B; the two names denote one live page (Bleomycin),high
K1:41728CY7UX,K1:JQ69D454N1,separate,"R4y both are salts of YGSDEFSMJLZEOE; neither page is that parent moiety; §3.1 merges a salt into its parent, and that parent is not either of these two pages",high
K1:42255P5X4D,K1:V561V90BG2,separate,R4z shared parent VLTRZXGMWDSKGL has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high
K1:433OSF3U8A,K1:G7W43U4YTF,separate,R9c Chaste Tree Fruit Oil and Chaste Tree Fruit are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:434C3EI07T,HOLD:existing:anhydrous-citric-acid,separate,"R9b 'FERRIC SODIUM CITRATE' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Anhydrous Citric Acid",high
K1:434C3EI07T,K1:XF417D3PSL,separate,"R6d GSRS names Anhydrous Citric Acid as the parent substance of FERRIC SODIUM CITRATE, but FERRIC SODIUM CITRATE is a ferric compound: the metal is the substance being recorded and Anhydrous Citric Acid is its ligand or counter-ion",high
K1:45XWE1Z69V,K1:8BK6YA62H6,separate,R8s the two held structures settle it: different skeletons ANVAOWXLWRTKGA vs OENHQHLEOONYIE; a name rule does not overrule a structure comparison,high
K1:471UZB51YK,K1:57U5YI11WP,separate,R8s the two held structures settle it: different skeletons MXOAEAUPQDYUQM vs SKPLBLUECSEIFO; a name rule does not overrule a structure comparison,high
K1:4846Q921YM,K1:E934B3V59H,separate,"R4y both are salts of QAOWNCQODCNURD; neither page is that parent moiety; §3.1 merges a salt into its parent, and that parent is not either of these two pages",high
K1:48GD5780QF,K1:QDL83WN8C2,separate,"R9a two separately registered FDA substances: Sepia Officinalis Whole ['48GD5780QF'] and Sepia Officinalis Juice ['QDL83WN8C2'], preferred names SEPIA OFFICINALIS WHOLE and SEPIA OFFICINALIS JUICE; neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:4GDQ854U53,K1:F7LG22FZCH,separate,R8s the two held structures settle it: different skeletons JUZYLCPPVHEVSV vs WPHAZPCTEVBKES; a name rule does not overrule a structure comparison,high
K1:4J9FJ0HL51,K1:KH7I04HPUU,separate,"R4y both are salts of NBIIXXVUZAFLBC; neither page is that parent moiety; §3.1 merges a salt into its parent, and that parent is not either of these two pages",high
K1:4OI8D3YOH1,K1:55R0S6LC84,separate,R8s the two held structures settle it: different skeletons IJKVHSBPTUYDLN vs RMAQACBXLXPBSY; a name rule does not overrule a structure comparison,high
K1:4OI8D3YOH1,K1:S4255P4G5M,separate,R8s the two held structures settle it: different skeletons IJKVHSBPTUYDLN vs RMAQACBXLXPBSY; a name rule does not overrule a structure comparison,high
K1:4OI8D3YOH1,K1:T57XQ6TH2A,separate,"R9a two separately registered FDA substances: Metasilicic Acid ['4OI8D3YOH1'] and Calcium Metasilicate ['T57XQ6TH2A'], preferred names METASILICIC ACID and CALCIUM METASILICATE; neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:4PW41QCO2M,K1:X7B7P649WQ,separate,R9c Boswellia Serrata Whole and Boswellia Serrata are different registered preparations of one organism (whole); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:4QIH0N49E7,K1:7RRQ8QZ38N,separate,"R6 the GSRS record on K1:4QIH0N49E7 is a mixed salt whose active moiety is Pyrantel (4QIH0N49E7); PAMOIC ACID is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high
K1:4WG8U28833,K1:V1V998DC17,separate,R9c Garlic Oil and Garlic are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:50FKX8CB2Y,,merge,R0 already-merged: corpus merge map records K1:WO0YM16LKG -> K1:50FKX8CB2Y; the two names denote one live page (Patisiran),high
K1:50FKX8CB2Y,,merge,R0 already-merged: corpus merge map records K1:WO0YM16LKG -> K1:50FKX8CB2Y; the two names denote one live page (Patisiran),high
K1:511BQ884F7,K1:W4888I119H,separate,R8s the two held structures settle it: different skeletons TUODPMGCCJSJRH vs FEWJPZIEWOKRBE; a name rule does not overrule a structure comparison,high
K1:515610SU8C,K1:Y5432RGW8N,separate,R9c Macadamia Nut Oil and Macadamia Nut are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:540REY4Q17,K1:HIE492ZZ3T,separate,R8s the two held structures settle it: different skeletons UTHUZYBSSBFPES vs QCDWFXQBSFUVSP; a name rule does not overrule a structure comparison,high
K1:55DGS3F5YG,K1:597E9BI3Z3,separate,R9c Arctium Lappa Root Oil and Arctium Lappa Root are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:578389D6D0,K1:K48IKT5321,separate,R9c Clove Oil and Clove are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:57U5YI11WP,K1:I670DAL4SZ,separate,R8s the two held structures settle it: different skeletons SKPLBLUECSEIFO vs MXOAEAUPQDYUQM; a name rule does not overrule a structure comparison,high
K1:5811MI029U,K1:EBU0U94820,separate,R9c Agrimonia Eupatoria Flower and Agrimonia Eupatoria are different registered preparations of one organism (flower); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:58A14F2L60,K1:WWX61E1ZAK,separate,"R9a two separately registered FDA substances: Sinapis Arvensis Whole ['58A14F2L60'] and Rhamphospermum Arvense FLOWERING/FRUITING Top ['WWX61E1ZAK'], preferred names Rhamphospermum arvense whole and Rhamphospermum arvense flowering/fruiting top; neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:5BF646324K,K1:W4888I119H,separate,"R6 the GSRS record on K1:5BF646324K is a mixed salt whose active moiety is Vinflunine (5BF646324K); TARTARIC ACID is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high
K1:5D3DB66WM3,K1:F5WR8N145C,separate,R4z shared parent XMBWDFGMSWQBCA has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high
K1:5DQP25600A,K1:HV0Y51NC4J,separate,R4z shared parent QYHFIVBSNOWOCQ has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high
K1:5IE62321P4,K2:NDAYQJDHGXTBJL-MWWSRJDJSA-N,merge,R1 identical UNII 5IE62321P4; one page holds no structure of its own; §2 keys biologics and name-only records on UNII alone,high
K1:5J49Q6B70F,K2:OGWKCGZFUXNPDA-XQKSVPLYSA-N,form_of,"R3 InChIKey skeleton OGWKCGZFUXNPDA shared; OGWKCGZFUXNPDA-CFWMRBGOSA-N vs OGWKCGZFUXNPDA-XQKSVPLYSA-N; the records carry the same name (Vincristine / Vincristine) so the difference is the stereo or protonation layer alone. §3.2 links these, never merges",medium
K1:5K96Y7WG8T,K1:YS6K3EU393,separate,"R6a GSRS names 2,4,6-TRIBROMOPHENOL as the parent substance of BISMUTH TRIBROMOPHENATE, but it records the active moiety as BISMUTH CATION (ZS9CD1I8YE); the counter-ion is the substance being recorded",high
K1:5Q9VVO3QCN,K4:manganese malate,separate,"R9b 'Manganese Iodide' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Manganese Malate",high
K1:5YDT22B64Y,K1:AB6MNQ6J6L,separate,R8s the two held structures settle it: different skeletons CBRJMHNWUUTCDW vs KDYFGRWQOYBRFD; a name rule does not overrule a structure comparison,high
K1:5Z6E9K79YV,HOLD:existing:anhydrous-citric-acid,separate,"R4a Lithium Citrate is Anhydrous Citric Acid (KRKNYBCHXYNGOX) plus counter-ions or solvate, but FDA records the active moiety of Lithium Citrate as LITHIUM CATION (8H8Z5UER66), not Anhydrous Citric Acid; the counter-ion is the substance being recorded and the organic acid is its carrier",high
K1:5Z6E9K79YV,K1:XF417D3PSL,separate,"R4a Lithium Citrate is Anhydrous Citric Acid (KRKNYBCHXYNGOX) plus counter-ions or solvate, but FDA records the active moiety of Lithium Citrate as LITHIUM CATION (8H8Z5UER66), not Anhydrous Citric Acid; the counter-ion is the substance being recorded and the organic acid is its carrier",high
K1:5Z9SP3X666,,merge,R0 already-merged: corpus merge map records K1:4CHB7QQU1Q -> K1:5Z9SP3X666; the two names denote one live page (Nusinersen),high
K1:5Z9SP3X666,,merge,R0 already-merged: corpus merge map records K1:4CHB7QQU1Q -> K1:5Z9SP3X666; the two names denote one live page (Nusinersen),high
K1:62TEY51RR1,K1:O414PZ4LPZ,separate,"R4x §1 the removed fragment is not a counter-ion: Bismuth Subsalicylate carries Bi that Salicylic Acid does not; shared organic fragment YGSDEFSMJLZEOE is the ligand, not the substance",high
K1:6326W0DRHY,K4:tetradecyl,separate,R9 no shared identifier and no structure pair to compare (Tetradecyl Hydrogen Sulfate (ESTER) vs Sodium Tetradecyl); UNIIs ['6326W0DRHY'] vs none; InChIKeys GROJOWHVXQYQGN-UHFFFAOYSA-N vs none,low
K1:63G354M39Z,HOLD:existing:anhydrous-citric-acid,separate,"R4x §1 the removed fragment is not a counter-ion: Ferric Citrate carries Fe that Anhydrous Citric Acid does not; shared organic fragment KRKNYBCHXYNGOX is the ligand, not the substance",high
K1:63G354M39Z,K1:Q91187K011,separate,"R4y both are salts of KRKNYBCHXYNGOX; neither page is that parent moiety; §3.1 merges a salt into its parent, and that parent is not either of these two pages",high
K1:63G354M39Z,K1:XF417D3PSL,separate,"R4x §1 the removed fragment is not a counter-ion: Ferric Citrate carries Fe that Anhydrous Citric Acid does not; shared organic fragment KRKNYBCHXYNGOX is the ligand, not the substance",high
K1:65R938S4DV,K1:R4R8J0Q44B,separate,"R6 the GSRS record on K1:65R938S4DV is a mixed salt whose active moiety is Lactobionic Acid (65R938S4DV); Gluconic Acid is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high
K1:67M901L9NQ,K1:3B8D35Y7S4,separate,"R4a Ammonium Lactate is Lactic Acid, Dl (JVTAAEKCZFNVCJ) plus counter-ions or solvate, but FDA records the active moiety of Ammonium Lactate as AMMONIUM CATION (54S68520I4), not Lactic Acid, Dl; the counter-ion is the substance being recorded and the organic acid is its carrier",high
K1:6B9991FLU3,K1:7RRQ8QZ38N,separate,"R6 the GSRS record on K1:6B9991FLU3 is a mixed salt whose active moiety is Pyrvinium (6B9991FLU3); PAMOIC ACID is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high
K1:6EW75241VU,K1:PPP8783IQ1,separate,"R9a two separately registered FDA substances: Technetium TC-99M ['6EW75241VU'] and Technetium TC-99M Pertechnetate ['PPP8783IQ1'], preferred names TECHNETIUM TC-99M and TECHNETIUM TC-99M PERTECHNETATE; neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:6J43Y8MXF0,K4:pulsatilla,separate,R9 no shared identifier and no structure pair to compare (Pulsatilla Alpina Whole vs Pulsatilla); UNIIs ['6J43Y8MXF0'] vs none,low
K1:740T4C525W,K1:AZE05TDV2V,separate,"R6 the GSRS record on K1:740T4C525W is a mixed salt whose active moiety is Sulfafurazole (740T4C525W); Diolamine is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high
K1:75G4TW236W,K1:6HG8UB2MUY,separate,"R9a two separately registered FDA substances: MEGLUMINE ANTIMONATE ['75G4TW236W'] and Meglumine ['6HG8UB2MUY'], preferred names MEGLUMINE ANTIMONIATE and Meglumine; neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:763YQN2K7K,K1:OJ245FE5EU,separate,"R4y both are salts of WPYMKLBDIGXBTP; neither page is that parent moiety; §3.1 merges a salt into its parent, and that parent is not either of these two pages",high
K1:781E2AXH0K,K1:R4R8J0Q44B,separate,"R4x §1 the removed fragment is not a counter-ion: FERROUS GLUCONATE ANHYDROUS carries Fe that Gluconic Acid does not; shared organic fragment RGHNJXZEOKUKBD is the ligand, not the substance",high
K1:7FT6QUT299,K1:ZVL325FU75,separate,"R4y both are salts of CBMIPXHVOVTTTL; neither page is that parent moiety; §3.1 merges a salt into its parent, and that parent is not either of these two pages",high
K1:7G09WJ8QIR,K1:R4R8J0Q44B,separate,"R4x §1 the removed fragment is not a counter-ion: Manganese Gluconate Anhydrous carries Mn that Gluconic Acid does not; shared organic fragment RGHNJXZEOKUKBD is the ligand, not the substance",high
K1:7GBN705NH1,K1:O414PZ4LPZ,separate,"R6 the GSRS record on K1:7GBN705NH1 is a mixed salt whose active moiety is Imidazole (7GBN705NH1); Salicylic Acid is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high
K1:7NFE54O27T,K1:XF417D3PSL,separate,"R6 the GSRS record on K1:7NFE54O27T is a mixed salt whose active moiety is Toremifene (7NFE54O27T); Anhydrous Citric Acid is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high
K1:7NJ031HAX5,K1:W4888I119H,separate,R8s the two held structures settle it: different skeletons NVEPPWDVLBMNMB vs FEWJPZIEWOKRBE; a name rule does not overrule a structure comparison,high
K1:7QWA1RIO01,K1:8EF1Z1238F,separate,R8s the two held structures settle it: different skeletons GVJHHUAWPYXKBD vs QUEDXNHFTDJVIY; a name rule does not overrule a structure comparison,high
K1:7UQ7X4Y489,,merge,R0 already-merged: corpus merge map records K1:3S182ET3UA -> K1:7UQ7X4Y489; the two names denote one live page (Tinzaparin),high
K1:7V9926378A,K1:J7IRE7H75D,separate,"R9a two separately registered FDA substances: Indium IN-111 Satumomab Pendetide ['7V9926378A'] and Satumomab ['J7IRE7H75D'], preferred names INDIUM IN-111 SATUMOMAB PENDETIDE and SATUMOMAB; neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:7W2581Z5L8,K1:J3TZF807X5,separate,"R6 the GSRS record on K1:7W2581Z5L8 is a mixed salt whose active moiety is Samidorphan (7W2581Z5L8); Malic Acid is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high
K1:813396S1PC,K1:13S1S8SF37,separate,R4z shared parent PTFCDOFLOPIGGS has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high
K1:818ZYK7N91,K1:AB6MNQ6J6L,separate,"R9b 'FERROUS SUCCINATE' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Succinic Acid",high
K1:86Q357L16B,K1:13S1S8SF37,separate,R4z shared parent PTFCDOFLOPIGGS has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high
K1:86R1NVR0HW,,merge,R0b same full InChIKey inside the 'potassium' name group: K1:86R1NVR0HW and HOLD:existing:potassium-citrate both hold QEEAPRPFLLJWCF-UHFFFAOYSA-K,high
K1:88JLS9ZM6C,K1:8BK6YA62H6,separate,R8s the two held structures settle it: different skeletons VJASLAGEYVTOGS vs OENHQHLEOONYIE; a name rule does not overrule a structure comparison,high
K1:8BK6YA62H6,K1:DH369M0SOE,separate,R8s the two held structures settle it: different skeletons OENHQHLEOONYIE vs HRQKOYFGHJYEFS; a name rule does not overrule a structure comparison,high
K1:8C3Z4148WZ,K1:C269C4G2ZQ,separate,"R9a two separately registered FDA substances: Alginic Acid ['8C3Z4148WZ'] and SODIUM ALGINATE ['C269C4G2ZQ'], preferred names ALGINIC ACID and Sodium alginate; neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:8EKI9QEE2H,K1:F5WR8N145C,separate,"R4y both are salts of XMBWDFGMSWQBCA; neither page is that parent moiety; §3.1 merges a salt into its parent, and that parent is not either of these two pages",high
K1:8KIK8VI3TB,K1:91MBZ8H3QO,separate,R4z shared parent XDVOLDOITVSJGL has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high
K1:8KK1UTR6IF,K1:K848JZ4886,separate,R8s the two held structures settle it: different skeletons MIUFXQAREUEISL vs XUJNEKJLAYXESH; a name rule does not overrule a structure comparison,high
K1:8LGU7VM393,K1:IJ67X351P9,separate,R9c Rosemary Oil and Rosemary are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:8P20S56HZI,K1:8C3Z4148WZ,separate,"R6a GSRS names Alginic Acid as the parent substance of CALCIUM ALGINATE, but it records the active moiety as CALCIUM CATION (2M83C4R6ZB); the counter-ion is the substance being recorded",high
K1:8Q759N78CX,K1:Y0C99N5TMZ,separate,"R4y both are salts of QAOWNCQODCNURD; neither page is that parent moiety; §3.1 merges a salt into its parent, and that parent is not either of these two pages",high
K1:8UQ3W6JXAN,K1:0WT12SX38S,separate,"R6 the GSRS record on K1:8UQ3W6JXAN is a mixed salt whose active moiety is Nedaplatin (8UQ3W6JXAN); GLYCOLIC ACID is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high
K1:8V316C2371,K1:3B8D35Y7S4,separate,"R6d GSRS names Lactic Acid, Dl as the parent substance of Myralact, yet nothing in the names or structures makes one a salt or solvate of the other; the link runs through a coformer",medium
K1:8W8T17847W,K1:H3LE856W64,separate,R8s the two held structures settle it: different skeletons XSQUKJJJFZCRTK vs FGPZLEIOVJZZCD; a name rule does not overrule a structure comparison,high
K1:9078K3MO9U,K1:4QD397987E,separate,"R6d GSRS names Histidine as the parent substance of COPPER HISTIDINE, but COPPER HISTIDINE is a copper compound: the metal is the substance being recorded and Histidine is its ligand or counter-ion",high
K1:9266D9P3PQ,K1:D5NNC1X8FP,separate,R8s the two held structures settle it: different skeletons YTKUWDBFDASYHO vs GPYWLSZJZNELNN; a name rule does not overrule a structure comparison,high
K1:95QN29S1ID,K1:88XHZ13131,separate,R8s the two held structures settle it: different skeletons YNNUSGIPVFPVBX vs VZCYOOQTPOCHFL; a name rule does not overrule a structure comparison,high
K1:96P72VE680,K1:9E7R5L6H31,separate,"R9a two separately registered FDA substances: CERIUM OXALATE ['96P72VE680'] and Oxalic Acid ['9E7R5L6H31'], preferred names CEROUS OXALATE and Oxalic acid; neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:97F4MTY3VA,K1:V561V90BG2,separate,R4z shared parent VLTRZXGMWDSKGL has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high
K1:97Z1WI3NDX,K1:B7862WZ632,separate,"R9b 'Calcium Phosphate, Unspecified Form' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Potassium Phosphate, Unspecified Form",high
K1:9B44647H2S,K1:Y41JS2NL6U,separate,R8s the two held structures settle it: different skeletons ZEAYEMJBEYLWSQ vs VHYCDWMUTMEGQY; a name rule does not overrule a structure comparison,high
K1:9G0JE54296,K4:cedrus libani,separate,R9c Cedrus Libani Whole and Cedrus Libani are different registered preparations of one organism (whole); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:9HDT03PZ0N,K4:vitex agnus castus,separate,R9c Vitex Agnus-Castus Whole and Vitex Agnus-Castus are different registered preparations of one organism (whole); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:9J1H7Y9OJV,K1:88XHZ13131,separate,R8s the two held structures settle it: different skeletons KBUZBQVCBVDWKX vs VZCYOOQTPOCHFL; a name rule does not overrule a structure comparison,high
K1:9K730EL8KU,K1:F0Z746KRKQ,separate,R8s the two held structures settle it: different skeletons IGLNJRXAVVLDKE vs NCCSSGKUIKYAJD; a name rule does not overrule a structure comparison,high
K1:9L5JEP7MES,K4:panax ginseng,separate,R9c Panax Ginseng Whole and Panax Ginseng are different registered preparations of one organism (whole); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:9NS3M2Y78S,K1:CZD6M4PY4B,separate,"R9a two separately registered FDA substances: Ornithogalum Umbellatum ['9NS3M2Y78S'] and Ornithogalum Umbellatum Flowering Top ['CZD6M4PY4B'], preferred names ORNITHOGALUM UMBELLATUM WHOLE and ORNITHOGALUM UMBELLATUM FLOWERING TOP; neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:9RES347CKG,K4:lavandin,separate,R9c Lavandin Oil and Lavandin are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:9U1VM840SP,K1:O414PZ4LPZ,separate,R8s the two held structures settle it: different skeletons PIJVFDBKTWXHHD vs YGSDEFSMJLZEOE; a name rule does not overrule a structure comparison,high
K1:9U7D5QH5AE,K1:9XH2P2N8EP,separate,R8s the two held structures settle it: different skeletons PFCRQPBOOFTZGQ vs JCQLYHFGKNRPGE; a name rule does not overrule a structure comparison,high
K1:9W34L2CQ9A,K1:K20Y81ACO3,separate,"R9a two separately registered FDA substances: Ambrosia Artemisiifolia ['9W34L2CQ9A'] and Ambrosia Artemisiifolia Pollen ['K20Y81ACO3'], preferred names AMBROSIA ARTEMISIIFOLIA WHOLE and AMBROSIA ARTEMISIIFOLIA POLLEN; neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:A0730CX801,K1:PPP8783IQ1,separate,"R6a GSRS names Technetium TC-99M Pertechnetate as the parent substance of Technetium Tc-99m Sodium Pertechnetate Generator, but it records the active moiety as TECHNETIUM TC-99M (6EW75241VU); the counter-ion is the substance being recorded",high
K1:A4028U842W,K1:D60E3WIF5Y,merge,"R7y identical name 'Fibrinolysin' and no structure on either page; UNIIs ['A4028U842W'] / ['D60E3WIF5Y'], substance classes ['protein'] / ['protein']",medium
K1:AB2MK88Y6D,K1:K72T3FS567,separate,R8s the two held structures settle it: different skeletons RIRGCFBBHQEQQH vs OIRDTQYFTABQOQ; a name rule does not overrule a structure comparison,high
K1:AQ86ZJ9U98,K4:chromic,separate,"R9b 'Chromic Phosphate' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Chromic",high
K1:B22547B95K,K1:XF417D3PSL,merge,R4 §3.1 salt or solvate: Trisodium Citrate Dihydrate is Anhydrous Citric Acid (KRKNYBCHXYNGOX) plus counter-ions or solvate; FDA records the active moiety of Trisodium Citrate Dihydrate as Anhydrous Citric Acid (XF417D3PSL),high
K1:B7862WZ632,K1:RS7A450LGA,separate,"R9b 'Potassium Phosphate, Unspecified Form' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Anhydrous Trisodium Citrate",high
K1:BGL0JSY5SI,K1:88XHZ13131,separate,"R6 the GSRS record on K1:BGL0JSY5SI is a mixed salt whose active moiety is Quetiapine (BGL0JSY5SI); Fumaric Acid is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high
K1:BI6GY4U9CW,,merge,R0 already-merged: corpus merge map records K1:5004UU3156 -> K1:BI6GY4U9CW; the two names denote one live page (Danaparoid),high
K1:BI6GY4U9CW,,merge,R0 already-merged: corpus merge map records K1:5004UU3156 -> K1:BI6GY4U9CW; the two names denote one live page (Danaparoid),high
K1:BO9LE4QFZF,K1:X4PT8NAI8E,separate,R8s the two held structures settle it: different skeletons XNKLLVCARDGLGL vs OMYGFARMZNCWPN; a name rule does not overrule a structure comparison,high
K1:C02T02993U,K1:YGR27ZW0Y7,separate,"R4w SODIUM SULFIDE appears only as a fragment of Sodium Sulfide Nonahydrate, not as its parent moiety",high
K1:C21158IIRK,K1:GW89581OWR,separate,"R4x §1 the removed fragment is not a counter-ion: Hekla Lava carries Al/Mn/Ti that Ferrous Cation does not; shared organic fragment CWYNVVGOOAEACU is the ligand, not the substance",high
K1:C2J9B08Q3I,K1:W2FH8O2BBE,separate,R9c CARAWAY OIL and Caraway are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:C5H0QJ6V7F,K1:XJ6RUH0O4G,separate,R9c Turpentine Oil and Turpentine are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:CC9149U2QX,K1:R4R8J0Q44B,separate,"R9a two separately registered FDA substances: SODIUM FERRIC GLUCONATE COMPLEX ['CC9149U2QX'] and Gluconic Acid ['R4R8J0Q44B'], preferred names SODIUM FERRIC GLUCONATE COMPLEX and Gluconic Acid; neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:CLH5FT6412,K1:91O4LML611,separate,"R4w Ferric Cation appears only as a fragment of Ferumoxytol NON-STOICHIOMETRIC Magnetite, not as its parent moiety",high
K1:CLH5FT6412,K1:GW89581OWR,separate,R4z shared parent CWYNVVGOOAEACU has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high
K1:CQ2F5O6YIY,K2:QCYLIQBVLZBPNK-WRRJDLEGSA-N,separate,R8s the two held structures settle it: different skeletons BNMGUJRJUUDLHW vs QCYLIQBVLZBPNK; a name rule does not overrule a structure comparison,high
K1:D888C394VO,K1:NVG71ZZ7P0,separate,R8s the two held structures settle it: different skeletons WHKUVVPPKQRRBV vs QTBSBXVTEAMEQO; a name rule does not overrule a structure comparison,high
K1:DL2R53P963,,merge,R0 already-merged: corpus merge map records K1:XW0E5YS77G -> K1:DL2R53P963; the two names denote one live page (COLISTIMETHATE),high
K1:DSV74G1P2J,K1:WQZ3G9PF0H,separate,R9c Atropa Belladonna Whole and Atropa Belladonna are different registered preparations of one organism (whole); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:DY38VHM5OD,K1:712K4CDC10,separate,R4z shared parent QWPPOHNGKGFGJK has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high
K1:E47C0NF7LV,,merge,R0 already-merged: corpus merge map records K1:8NZ41MIK1O -> K1:E47C0NF7LV; the two names denote one live page (Enoxaparin),high
